Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-09-15,Breakfast,150,15,10,0,0,75,75,225,5,0,5,5,10,20,0,0,7.8,,
2018-09-15,Lunch,540.9,4.9,1.5,0.7,0.3,0,111.1,938.9,114.9,23.2,78.7,25,6.6,320.4,10.1,41,105.7,,
2018-09-15,Dinner,710,56.5,9,0,0,0,695,0,34.5,6.5,23.5,11.5,0,0,0,0,34.44,59,0
2018-09-15,Snacks,131,3.8,1.2,0,0,0,17.7,0,22.4,1.1,10.4,1.9,0,0,0,0,22.364, ,
2018-09-16,Breakfast,270,17,11,0,0,75,120,90,25,0,22,7,12,8,15,0,28.92,,
2018-09-16,Lunch,442.8,6,1.5,0.4,0.2,0,107,485,80.5,22.3,48.3,24.2,27.5,48,6,44.2,71.752,,
2018-09-16,Dinner,1028,55,17.5,0,0,151,1004,0,67,0,9,45,0,0,0,0,92.2,24,427
2018-09-16,Snacks,292,18.7,6.1,3.9,6.5,142,352,45,25.2,0.6,7.6,7.4,19,5,6,7,28.744, ,
2018-09-17,Breakfast,461,23.4,15.1,0.1,0,105,153,452,62.1,6.2,50.4,9.7,17,24,16,1,61.332,,
2018-09-17,Lunch,383.2,11.6,4.9,0.9,2.4,105.2,87.5,773,59.4,5,55.9,15.9,77.2,203,18.2,4.6,63.304,,
2018-09-17,Dinner,457.6,14.1,3.3,3,6.7,51,681.2,2052.5,58.7,15.6,8.3,29.2,92.4,340.8,12.6,21.4,59.452,71,0
2018-09-17,Snacks,131,3.8,1.2,0,0,0,17.7,0,22.4,1.1,10.4,1.9,0,0,0,0,22.364, ,
2018-09-18,Breakfast,350,12.2,7.4,0,0,51,90,180,29,0,26,9,8,0,31,0,34.04,,
2018-09-18,Lunch,383.2,11.6,4.9,0.9,2.4,105.2,87.5,773,59.4,5,55.9,15.9,77.2,203,18.2,4.6,63.304,,
2018-09-18,Dinner,474.4,13,0,0,0,0,1140,200,20.1,7.5,11,70.4,25.5,25.5,7.5,18,52.024,31,261
2018-09-19,Breakfast,584,12.3,5.1,0.9,2,112.7,89,928.4,76.4,6.4,62.1,20.5,10.5,361.4,41.1,9.9,81.48,,
2018-09-19,Lunch,131,0.4,0.1,0.1,0,0,3,272,35.1,6.2,26.4,0.7,1,8,1,1,29.292,,
2018-09-19,Dinner,515.8,13.5,0.1,0.2,0,0,1690.8,1038.8,26.9,11.8,11.8,75.7,402.8,54.9,32,53.7,57.492,30,265
2018-09-19,Snacks,580,31,5.5,2.5,0.3,0,240,600,69,9,48,15,4,50,16,26,68.4, ,
2018-09-20,Breakfast,410.7,12.6,5,1.3,2,111.2,86.2,645.8,35.7,11.1,23.4,19.1,6.3,74.3,35.5,9.1,35.296,,
2018-09-20,Lunch,285.9,11.5,7,0.1,0.2,45,90,259.1,41.8,2.3,36.4,6.2,19.4,26.1,16,1.6,42.972,,
2018-09-20,Dinner,316.8,25,9.6,1.2,9.6,186.6,121.6,999.4,7.9,2.3,4.9,46.9,26.1,33.4,7.8,23.8,31.864,61,0
2018-09-20,Snacks,400,29,5.5,2.5,0.3,0,240,400,21,7,2,13,0,0,12,22,21.28, ,
2018-09-21,Breakfast,252.2,10.9,4.8,0.7,1.9,108.2,84.5,299,12.4,0,12.9,15.1,5.2,0,23.2,2.6,20.856,,
2018-09-21,Lunch,300,4,1.5,0.4,0.2,0,107,485,53,15.2,33,22.2,2,48,6,34,50.232,,
2018-09-21,Dinner,488,15,0,0,0,0,0,0,44,3,0,22,0,0,0,0,53.32,11,336
2018-09-21,Snacks,113.8,0.7,0,0.1,0.3,0,0,388.6,28.3,3.5,24.6,1.7,17.1,39.2,1.5,2.3,25.752, ,
2018-09-22,Breakfast,375.7,12.3,4.9,1.3,2,109.7,86.2,600.8,34.2,11.1,21.9,18.1,6.3,74.3,31.5,9.1,33.236,,
2018-09-22,Dinner,764,38.5,12.7,0,0,105.7,788.6,0,52.3,0,6.3,31.5,0,0,0,0,69.94,52,350
2018-09-22,Snacks,520,28,5,0,0,0,240,540,64,4,48,12,4,50,8,20,66.72, ,
2018-09-23,Breakfast,287.2,11.2,4.9,0.7,1.9,109.7,84.5,344,13.9,0,14.4,16.1,5.2,0,27.2,2.6,22.916,,
2018-09-23,Lunch,141.7,0.3,0,0.1,0,0,2.8,309,37.2,4,27.9,1.5,3.3,225.9,3.7,4.6,34.04,,
2018-09-23,Dinner,841.8,43.3,7,13.1,4.3,100,257.6,236.4,92.5,3.6,5.3,32.3,14.9,53.6,37.5,6.8,106.988,42,509
2018-09-23,Snacks,405,4.9,1.8,0.4,0.2,4.5,107,620,57.5,15.2,37.5,25.2,2,48,18,34,56.412, ,
2018-10-05,Breakfast,357.2,11.8,5.1,0.7,1.9,112.7,84.5,434,16.9,0,17.4,18.1,5.2,0,35.2,2.6,27.036,,
2018-10-05,Lunch,242.5,3.3,1.5,0.1,0.1,0,105.5,314,39.5,12.8,10.5,22.6,12.5,16,6,31,39.356,,
2018-10-05,Dinner,536,28.1,8,2.4,5,93,834.5,60,41.8,4.2,1.9,28.7,26,1,10,25,53.672,104,170
2018-10-06,Breakfast,357.2,11.8,5.1,0.7,1.9,112.7,84.5,434,16.9,0,17.4,18.1,5.2,0,35.2,2.6,27.036,,
2018-10-06,Lunch,410,5,1.5,0,0,0,113,897,81,16,65,22,64,192,10,32,77.32,,
2018-10-06,Dinner,201.1,14.1,1.6,1,3.5,20,453.5,176.5,3.1,1,2.1,15.6,12.5,15.5,0.5,2.5,10.836,25,230
2018-10-06,Snacks,60,3,0.5,2.5,0.3,0,0,60,5,5,0,3,0,0,8,6,1.68, ,
2018-10-07,Breakfast,544,24.3,10,4,7.9,45,293,270,38.4,2,18.9,11.2,10,2,27,9,42.672,,
2018-10-07,Lunch,526.2,28.5,9.5,1,7,0,2049.2,197.7,38.4,2.3,6.9,26,7.1,3.9,4.8,8.6,50.66,,
2018-10-07,Dinner,142.5,3.2,0.5,2.6,0.3,0,1.7,239.9,26.6,7.3,16.3,3.9,1.9,131.5,10.1,8.7,21.484,17,0
2018-10-07,Snacks,220,0,0,0,0,0,0,900,60,6,38,2,4,30,0,4,55.12, ,
2018-10-08,Breakfast,210,1.8,0.6,0,0,9,0,270,9,0,9,6,0,0,24,0,12.36,,
2018-10-08,Lunch,532,5.6,2.1,0.4,1,0,111,1385,111,18,95,25.6,144,406,12,34,107.336,,
2018-10-08,Dinner,501,10.4,1.5,0.2,0,0,299,0,27,2.9,0,43,0,0,4.3,0.3,48.18,0,173
